TestPlan.C2,TestPlan.C,Count,TestPlan.C3
4AA58001,4AA58001/BL_Misc_01I,45,BL_Misc_01I
4AP44501,4AP44501/BL_NY_AntiBac_01D,39,BL_NY_AntiBac_01D
4FQ51801,4FQ51801/BL_Sani_07C,1681,BL_Sani_07C
4OB35301,4OB35301/BL_Misc_12A,53,BL_Misc_12A
4CP28401,4CP28401/BL_NY_Neut 09AA,52,BL_NY_Neut 09AA
4AU55501,4AU55501/BL_NY_Prep H Pain Relief Wipes,41,BL_NY_Prep H Pain Relief Wipes
4BJ14101,4BJ14101/BL_MedWipe_01A,37,BL_MedWipe_01A
4OU16501,4OU16501/BL_Sani_08E,12,BL_Sani_08E
4OP72301,4OP72301/BL_Sani_01B,129,BL_Sani_01B
4OP19701,4OP19701/BL_NY_Unilever Simple Core Cleansing_01,76,BL_NY_Unilever Simple Core Cleansing_01
4CD50101,4CD50101/BLR_BZK_06A,16,BLR_BZK_06A
4OX41101,4OX41101/,125,
4OP63801,4OP63801/BL_Sani_08I,237,BL_Sani_08I
4DH24701,4DH24701/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),212,BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear)
4OS40701,4OS40701/BL_CHG_02B,32,BL_CHG_02B
4OB10801,4OB10801/BL_CHG_02A,102,BL_CHG_02A
4BJ14101,4BJ14101/BL_NY_Pond's Luminous Clean MUR_02,2,BL_NY_Pond's Luminous Clean MUR_02
4ABBY23,4ABBY23/BL_NY_Natural Baby w/Vit E,4,BL_NY_Natural Baby w/Vit E
4ABBY23,4ABBY23/BL_Sani_01A,2,BL_Sani_01A
4CP30801,4CP30801/BL_NY_Aveeno MUR_01,24,BL_NY_Aveeno MUR_01
4OP71501,4OP71501/BL_Sani_01A,10,BL_Sani_01A
4OA34701,4OA34701/BL_NY_Summers Eve Period Feminine_02,20,BL_NY_Summers Eve Period Feminine_02
4BP08101,4BP08101/BL_NY_Pond's Original Fresh MUR_02,23,BL_NY_Pond's Original Fresh MUR_02
4OB22301,4OB22301/BL_Misc_03A,3,BL_Misc_03A
4OB22301,4OB22301/BL_Sani_07C,2,BL_Sani_07C
4CS41101,4CS41101/BL_Iodine_01B,21,BL_Iodine_01B
4CS41101,4CS41101/BL_MedWipe_04A,2,BL_MedWipe_04A
4OM30401,4OM30401/BL_NY_BackSpin Wipe_03,139,BL_NY_BackSpin Wipe_03
4CU12501,4CU12501/BL_MedWipe_04A,166,BL_MedWipe_04A
4OP09301,4OP09301/BL_NY_Noxzema Pads _01,20,BL_NY_Noxzema Pads _01
4CP06501,4CP06501/BL_NY_Pond's Evening Soothe MUR_02,7,BL_NY_Pond's Evening Soothe MUR_02
4CP21101,4CP21101/BL_NY_Neut MUR_01,8,BL_NY_Neut MUR_01
4CP21101,4CP21101/BL_NY_Neut 09AA,2,BL_NY_Neut 09AA
4OB16401,4OB16401/BL_Misc_01F,65,BL_Misc_01F
4OX12401,4OX12401/,184,
4CU12501,4CU12501/BL_NY_MedWipe_04AA,7,BL_NY_MedWipe_04AA
4CD50101,4CD50101/BL_NY_Pond's Evening Soothe MUR_02,2,BL_NY_Pond's Evening Soothe MUR_02
4OP19701,4OP19701/BL_NY_Avon Solutions,2,BL_NY_Avon Solutions
4XD35101,4XD35101/,17,
4BB10301,4BB10301/BL_CHG_03A,4,BL_CHG_03A
4BB10301,4BB10301/BL_MedWipe_01A,2,BL_MedWipe_01A
4OP07501,4OP07501/BL_NY_L'Oreal Paris - Revitalift  MUR,8,BL_NY_L'Oreal Paris - Revitalift  MUR
4OP44801,4OP44801/BL_AntiBac_01D,9,BL_AntiBac_01D
4BS41101,4BS41101/BL_Iodine_01A,5,BL_Iodine_01A
4BS41101,"4BS41101/BL_NY_Glycopyrronium Topical Solution, 2.4%_01",2,"BL_NY_Glycopyrronium Topical Solution, 2.4%_01"
4FQ51801,4FQ51801/BL_NY_BackSpin Wipe_04,5,BL_NY_BackSpin Wipe_04
4OC22301,4OC22301/BL_NY_Sterile Wipe Solution,65,BL_NY_Sterile Wipe Solution
4OP22701,4OP22701/BL_NY_L'Oreal Garnier Micellar Water,10,BL_NY_L'Oreal Garnier Micellar Water
4AP44501,4AP44501/BL_Sani_07C,5,BL_Sani_07C
4BU35101,"4BU35101/BL_NY_Glycopyrronium Topical Solution, 2.4%_01",20,"BL_NY_Glycopyrronium Topical Solution, 2.4%_01"
4AP44501,4AP44501/BL_Sani_08I,2,BL_Sani_08I
4FQ51801,4FQ51801/BL_Sani_05A,4,BL_Sani_05A
4FQ51801,4FQ51801/BL_NY_AntiBac_01D,7,BL_NY_AntiBac_01D
4FQ51801,4FQ51801/BL_Sani_04A,13,BL_Sani_04A
4FQ51801,4FQ51801/BL_Misc_12A,5,BL_Misc_12A
4AP63801,4AP63801/BL_Sani_08H,11,BL_Sani_08H
4OP25301,4OP25301/BL_NY_Sani-cloth prime_01,49,BL_NY_Sani-cloth prime_01
4CA81001,4CA81001/BL_MedWipe_03A,7,BL_MedWipe_03A
4CA81001,4CA81001/BL_Sani_04A,2,BL_Sani_04A
4OP11301,4OP11301/BL_NY_L'Oreal Garnier Refreshing MUR,6,BL_NY_L'Oreal Garnier Refreshing MUR
4OP08701,4OP08701/BL_NY_Cetaphil Gentle MUR,10,BL_NY_Cetaphil Gentle MUR
4OC22301,4OC22301/BL_Misc_08A,2,BL_Misc_08A
4ED41901,4ED41901/BL_Misc_08B,25,BL_Misc_08B
4CU12501,4CU12501/BL_Basis MUR_01,6,BL_Basis MUR_01
4AD20301,4AD20301/BL_Sani_01A,16,BL_Sani_01A
4OP09301,4OP09301/NY-Microbiology celsis rapid,8,NY-Microbiology celsis rapid
4AD74801,4AD74801/BL_Misc_06B,20,BL_Misc_06B
4OX11001,4OX11001/,4,
4OU25201,4OU25201/,12,
4CP60101,4CP60101/BL_NY_Neut Hydrating_01,16,BL_NY_Neut Hydrating_01
4OB16401,4OB16401/BL_NY_Sodium Hydroxide 30%,3,BL_NY_Sodium Hydroxide 30%
4OP80601,4OP80601/BL_NEUT_05B,6,BL_NEUT_05B
4OP09301,4OP09301/BL_NY_L'Oreal Garnier Refreshing MUR,2,BL_NY_L'Oreal Garnier Refreshing MUR
4OP72301,4OP72301/BL_NEUT_05B,2,BL_NEUT_05B
4OP63001,4OP63001/BL_NEUT_05C,5,BL_NEUT_05C
4OA34701,4OA34701/BL_NY_MedWipe_04AA,2,BL_NY_MedWipe_04AA
4AA58001,4AA58001/Chem_206A,2,Chem_206A
4BQ89001,4BQ89001/BL_Sani_04A,118,BL_Sani_04A
4OP72301,4OP72301/BL_NY_Cetaphil_01B,6,BL_NY_Cetaphil_01B
4OP63001,4OP63001/BL_Sani_08I,2,BL_Sani_08I
4ED41901,4ED41901/BL_Baby_01A,2,BL_Baby_01A
4AB1110M,4AB1110M/Chem_206A,1,Chem_206A
4AB1110M,4AB1110M/BL_NY_Natural Baby w/Vit E,1,BL_NY_Natural Baby w/Vit E
4BQ89001,4BQ89001/BL_NY_Sani Alt_02C,7,BL_NY_Sani Alt_02C
4BQ89001,4BQ89001/BL_Sani_07C,11,BL_Sani_07C
4BQ89001,4BQ89001/BL_Iodine_01A,2,BL_Iodine_01A
4CA89001,4CA89001/BL_Sani_04A,3,BL_Sani_04A
4CA89001,4CA89001/BL_NY_Sani Alt_02C,3,BL_NY_Sani Alt_02C
4CA89001,4CA89001/BLR_BZK_04A,2,BLR_BZK_04A
4OB16401,4OB16401/BL_Misc_03A,2,BL_Misc_03A
4OX50101,4OX50101/,7,
4BQ08401,4BQ08401/BL_Sani_05A,27,BL_Sani_05A
4BQ08401,4BQ08401/BL_Sani_07C,5,BL_Sani_07C
4OP20301,4OP20301/BL_NY_Avon Solutions,1,BL_NY_Avon Solutions
4OP20301,4OP20301/BL_NY_L'Oreal Garnier Micellar Water,1,BL_NY_L'Oreal Garnier Micellar Water
4OB712OM,4OB712OM/Chem_187A,5,Chem_187A
4OP71501,4OP71501/BL_Sani_01B,2,BL_Sani_01B
4OP11301,4OP11301/BL_NY_Unilever Simple Core Cleansing_01,2,BL_NY_Unilever Simple Core Cleansing_01
4FQ51801,4FQ51801/BL_NY_Sani-cloth prime_01,9,BL_NY_Sani-cloth prime_01
4CU12501,4CU12501/BL_Sani_07C,7,BL_Sani_07C
4DA16001,4DA16001/BL_Basis MUR_01,1,BL_Basis MUR_01
4DA16001,4DA16001/BL_MedWipe_04A,1,BL_MedWipe_04A
4DA16001,4DA16001/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),1,BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear)
4CP60101,4CP60101/BL_Iodine_01B,2,BL_Iodine_01B
4AMTT03,4AMTT03/BL_NY_MTT/Toddler Red. Surfactants,4,BL_NY_MTT/Toddler Red. Surfactants
4AMTT03,4AMTT03/BL_NY_Unilever Simple Core Cleansing_02,2,BL_NY_Unilever Simple Core Cleansing_02
4OM30401,4OM30401/BL_Sani_08I,5,BL_Sani_08I
4DP02701,4DP02701/BL_NY_NEUT_08AA,10,BL_NY_NEUT_08AA
4OB10801,4OB10801/BL_NY_Sodium Hydroxide 30%,2,BL_NY_Sodium Hydroxide 30%
4OP63801,4OP63801/BL_NEUT_05C,4,BL_NEUT_05C
4OJ12301,4OJ12301/BL_NY_Cetaphil_01B,37,BL_NY_Cetaphil_01B
4OJ12301,4OJ12301/BL_Sani_01B,4,BL_Sani_01B
4OP38301,4OP38301/BL_Sani_08I,2,BL_Sani_08I
4OP38301,4OP38301/BL_Sani_11A,2,BL_Sani_11A
4OP38301,4OP38301/BL_AntiBac_01D,2,BL_AntiBac_01D
4OP63801,4OP63801/BL_Sani_11A,7,BL_Sani_11A
4OP63801,4OP63801/BL_Sani_08H,5,BL_Sani_08H
4AP63801,4AP63801/BL_Sani_08I,3,BL_Sani_08I
4AP63801,4AP63801/BL_NY_Grime Boss_02,1,BL_NY_Grime Boss_02
4OP63801,4OP63801/BL_NY_L'Oreal Paris - Revitalift  MUR,1,BL_NY_L'Oreal Paris - Revitalift  MUR
4OP80601,4OP80601/BL_NY_AntiBac_01A(Citrus-Alcohol_NC-Slt.Yellow_Clear-Cloudy),2,BL_NY_AntiBac_01A(Citrus-Alcohol_NC-Slt.Yellow_Clear-Cloudy)
4OP72301,4OP72301/BL_Sani_07C,5,BL_Sani_07C
4OA92201,4OA92201/BL_NY_Baby Dove Sensitive Moisture_01,5,BL_NY_Baby Dove Sensitive Moisture_01
4OA91101,4OA91101/BL_NY_Baby Dove Rich Moisture_01,7,BL_NY_Baby Dove Rich Moisture_01
4AA27601,4AA27601/BL_MedWipe_04A,5,BL_MedWipe_04A
4AA27601,4AA27601/BL_Sani_07C,4,BL_Sani_07C
4AA27601,4AA27601/BL_Sani_08I,4,BL_Sani_08I
4AA27601,4AA27601/BL_NY_Sterile Wipe Solution,4,BL_NY_Sterile Wipe Solution
4AD74801,4AD74801/BL_Sani_07C,4,BL_Sani_07C
4OP25301,4OP25301/BL_Sani_07C,8,BL_Sani_07C
4AU55501,4AU55501/BL_CHG_03A,2,BL_CHG_03A
4FQ51801,4FQ51801/BL_MedWipe_04A,9,BL_MedWipe_04A
4AD20301,4AD20301/BL_Baby_01A,2,BL_Baby_01A
4APER02,4APER02/BL_NY_Grime Boss_02,1,BL_NY_Grime Boss_02
4APER02,4APER02/BL_NY_Prep H Pain Relief Wipes,1,BL_NY_Prep H Pain Relief Wipes
4OP22701,4OP22701/BL_NY_NEUT_05D,2,BL_NY_NEUT_05D
4GB59801,4GB59801/BL_Misc_03E,8,BL_Misc_03E
4GB59801,4GB59801/BL_NY_Summers Eve Period Feminine_02,2,BL_NY_Summers Eve Period Feminine_02
4OP63801,4OP63801/BL_NY_BackSpin Wipe_03,5,BL_NY_BackSpin Wipe_03
4BP07301,4BP07301/BL_NY_Pond's Luminous Clean MUR_02,2,BL_NY_Pond's Luminous Clean MUR_02
4BP07301,4BP07301/BL_NY_Pond's Original Fresh MUR_02,2,BL_NY_Pond's Original Fresh MUR_02
4OP23001,4OP23001/BL_NY_NEUT_05D,1,BL_NY_NEUT_05D
4OP23001,4OP23001/BL_NY_Sani-cloth prime_01,1,BL_NY_Sani-cloth prime_01
4DP02701,4DP02701/BL_Misc_08B,2,BL_Misc_08B
4OB35301,4OB35301/BL_Sani_07C,2,BL_Sani_07C
4OY11001,4OY11001/,2,
4OD30201,4OD30201/BL_Misc_03C,1,BL_Misc_03C
4OD30201,4OD30201/BL_Misc_17A,1,BL_Misc_17A
4OD36501,4OD36501/BL_Misc_17A,1,BL_Misc_17A
4OD36501,4OD36501/BL_Misc_03C,1,BL_Misc_03C
4OD36501,4OD36501/BL_NY_Cetaphil_01B,1,BL_NY_Cetaphil_01B
4OS82101,4OS82101/BL_Iodine_01C,4,BL_Iodine_01C
4OS82101,4OS82101/BL_Sani_08E,2,BL_Sani_08E
4CU12501,4CU12501/BL_NY_BackSpin Wipe_04,3,BL_NY_BackSpin Wipe_04
4OD22201,4OD22201/BL_Misc_08A,3,BL_Misc_08A
4OD22201,4OD22201/BL_Misc_03C,2,BL_Misc_03C
4BP08101,4BP08101/BL_NY_Pond's Exfoliating Renewal MUR_02,2,BL_NY_Pond's Exfoliating Renewal MUR_02
4AD74801,4AD74801/BL_NY_MTT/Toddler Red. Surfactants,1,BL_NY_MTT/Toddler Red. Surfactants
4FQ51801,4FQ51801/BL_Misc_06B,5,BL_Misc_06B
4CP30801,4CP30801/BL_NY_Neut Hydrating_01,2,BL_NY_Neut Hydrating_01
4CD309AS,4CD309AS/BLR_BZK_04A,9,BLR_BZK_04A
4OP25301,4OP25301/BL_MUR_04A,1,BL_MUR_04A
4AD23901,4AD23901/BL_Baby_01A,6,BL_Baby_01A
4AD23901,4AD23901/BL_Misc_06B,2,BL_Misc_06B
4OA92201,4OA92201/BL_NY_Multi-surface Reduced Fragrance_01,2,BL_NY_Multi-surface Reduced Fragrance_01
4OA91101,4OA91101/BL_NY_Baby Dove Sensitive Moisture_01,2,BL_NY_Baby Dove Sensitive Moisture_01
4AP34501,4AP34501/BL_MUR_04AA,4,BL_MUR_04AA
4AP34501,4AP34501/BL_Sani_07C,2,BL_Sani_07C
4AP34501,4AP34501/NY-Microbiology celsis rapid,2,NY-Microbiology celsis rapid
4CD309AS,4CD309AS/BLR_BZK_06A,2,BLR_BZK_06A
4CP28401,4CP28401/BL_NY_Aveeno MUR_01,2,BL_NY_Aveeno MUR_01
4OP08701,4OP08701/BL_NY_Noxzema Pads _01,1,BL_NY_Noxzema Pads _01
4CP06501,4CP06501/BL_NY_Neut MUR_01,2,BL_NY_Neut MUR_01
4OA70901,4OA70901/BL_NY_MedWipe_04AA,5,BL_NY_MedWipe_04AA
4OA70901,4OA70901/BL_MedWipe_04A,4,BL_MedWipe_04A
4BP20501,4BP20501/BL_NY_Pond's Exfoliating Renewal MUR_02,1,BL_NY_Pond's Exfoliating Renewal MUR_02
4BP20501,4BP20501/BL_Sani_07C,1,BL_Sani_07C
4AA27601,4AA27601/BL_Misc_01D,3,BL_Misc_01D
4OB712OM,4OB712OM/Chem_NY_Tender After Bite,2,Chem_NY_Tender After Bite
4FQ51801,4FQ51801/BL_NY_Sodium Hydroxide 30%,4,BL_NY_Sodium Hydroxide 30%
4FQ51801,4FQ51801/BL_Sani_01B,7,BL_Sani_01B
4OP07501,4OP07501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),3,BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid)
4OP44801,4OP44801/BL_Sani_08I,2,BL_Sani_08I
4OA97201,4OA97201/BL_NY_Multi-surface Reduced Fragrance_01,38,BL_NY_Multi-surface Reduced Fragrance_01
4OJ12301,4OJ12301/BL_Sani_08I,2,BL_Sani_08I
4OP08701,4OP08701/NY-Microbiology celsis rapid,1,NY-Microbiology celsis rapid
4FM10201,4FM10201/BL_Baby_01A,1,BL_Baby_01A
4FM10201,4FM10201/BL_NY_AntiBac_01D,1,BL_NY_AntiBac_01D
4OQ59401,4OQ59401/BL_NY_AntiBac_01A(Citrus-Alcohol_NC-Slt.Yellow_Clear-Cloudy),1,BL_NY_AntiBac_01A(Citrus-Alcohol_NC-Slt.Yellow_Clear-Cloudy)
4OQ59401,4OQ59401/BL_CHG_02B,1,BL_CHG_02B
4OS40701,4OS40701/BL_Iodine_01C,2,BL_Iodine_01C
4OP34501,4OP34501/BL_MUR_04A,1,BL_MUR_04A
4OP34501,4OP34501/BL_NY_BZK AntiBac_02,1,BL_NY_BZK AntiBac_02
4OP35101,4OP35101/BL_NY_BZK AntiBac_02,2,BL_NY_BZK AntiBac_02
4OP35101,4OP35101/BL_MUR_04A,2,BL_MUR_04A
4OP35101,4OP35101/BL_Sani_08I,1,BL_Sani_08I
4OX60101,4OX60101/,33,
4BU35101,4BU35101/BL_MedWipe_03A,2,BL_MedWipe_03A
4AP19701,4AP19701/BL_NY_Unilever Simple Core Cleansing_02,19,BL_NY_Unilever Simple Core Cleansing_02
4FQ51801,4FQ51801/BL_Misc_03E,2,BL_Misc_03E
4AA27601,4AA27601/BL_Misc_01I,1,BL_Misc_01I
4OB96301,4OB96301/Chem_NY_Tender After Bite,3,Chem_NY_Tender After Bite
4OB96301,4OB96301/BL_NY_Sterile Wipe Solution,2,BL_NY_Sterile Wipe Solution
4DH24701,4DH24701/BL_NY_NEUT_08AA,2,BL_NY_NEUT_08AA
4FQ51801,4FQ51801/BL_Misc_01D,3,BL_Misc_01D
4OB35301,4OB35301/Chem_187A,1,Chem_187A
4OU16501,4OU16501/,1,
4OU16501,4OU16501/Chem_NY_L'Oreal Sublime Bronze Tanning Liquid,1,Chem_NY_L'Oreal Sublime Bronze Tanning Liquid
4OM30401,4OM30401/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),3,BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear)
4OM30401,4OM30401/BL_NY_L'Oreal Paris - Revitalift  MUR,2,BL_NY_L'Oreal Paris - Revitalift  MUR
4DH24701,4DH24701/BL_NY_BackSpin Wipe_03,4,BL_NY_BackSpin Wipe_03
4AP19701,4AP19701/BL_MUR_04AA,2,BL_MUR_04AA
4OY80601,4OY80601/,1,
4OA70901,4OA70901/BL_NY_Baby Dove Rich Moisture_01,1,BL_NY_Baby Dove Rich Moisture_01
4OA97201,4OA97201/BL_CHG_02A,2,BL_CHG_02A
4OP07501,4OP07501/BL_NY_Cetaphil Gentle MUR,1,BL_NY_Cetaphil Gentle MUR
4OP70501,4OP70501/BL_NY_L'Oreal Paris - Revitalift  MUR,1,BL_NY_L'Oreal Paris - Revitalift  MUR
4OP70501,4OP70501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),1,BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid)
4OP70501,4OP70501/BL_Sani_01A,1,BL_Sani_01A